city,mortality,precipitation,education,nonwhite,nox,so2
"Reading, PA",946.185,41,9.6,2.7,11,89
"Syracuse,NY",950.672,38,11.4,3.8,5,25
"Houston, TX",952.529,46,11.4,21,5,1
"Saint Louis, MO",953.56,34,9.7,17.2,15,68
"Youngstown,OH",954.442,38,10.7,11.7,13,39
"Columbus, OH",958.839,37,11.9,13.1,9,15
"Detroit, MI",959.221,31,10.8,15.8,35,124
"Nashville, TN",961.009,45,10.1,21,14,78
"Allentown, PA",962.354,44,9.8,0.8,6,33
"Washington, DC",967.803,41,12.3,25.9,28,102
"Indianapolis, IN",968.665,39,11.4,15.6,7,33
"Cincinnati, OH",970.467,40,10.2,13,26,146
"Greensbro, NC",971.122,42,10.4,22.7,3,5
"Toledo, OH",972.464,31,10.7,9.5,7,25
"Atlanta, GA",982.291,47,11.1,27.1,8,24
"Cleveland, OH",985.95,35,11.1,14.7,21,64
"Louisville, KY",989.265,30,9.9,13.1,37,193
"Pittsburgh, PA",991.29,36,10.6,8.1,59,263
"New York, NY",994.648,42,10.7,11.3,26,108
"Albany, NY",997.875,35,11,3.5,10,39
"Buffalo, NY",1001.902,36,10.5,8.1,12,37
"Wilmington, DE",1003.502,45,11.3,12.1,11,42
"Memphis, TN",1006.49,50,10.4,36.7,18,34
"Philadelphia, PA",1015.032,42,10.5,17.5,32,161
"Chattanooga, TN",1017.613,52,9.6,22.2,8,27
"Chicago, IL",1024.885,33,10.9,16.3,63,278
"Richmond, VA",1025.502,44,11,28.6,9,48
"Birmingham, VL",1030.38,53,10.2,38.5,32,72
"Baltimore, MD",1071.289,43,9.6,24.4,38,206
"New Orleans,LA",1113.056,54,9.7,31.4,17,1
